timestamp,requests,errors,total_latency_ms,requests_rolling_mean,errors_rolling_mean,latency_rolling_mean
2026-02-01T08:00:00,120,2,3600,,,
2026-02-01T08:05:00,135,3,4050,,,
2026-02-01T08:10:00,150,4,4800,135.0,3.0,4150.0
2026-02-01T08:15:00,165,5,5200,150.0,4.0,4683.33
2026-02-01T08:20:00,180,7,6100,165.0,5.33,5366.67
2026-02-01T08:25:00,170,6,5900,171.67,6.0,5733.33
2026-02-01T08:30:00,160,4,5400,170.0,5.67,5800.0
2026-02-01T08:35:00,155,3,5100,161.67,4.33,5466.67
2026-02-01T08:40:00,145,2,4700,153.33,3.0,5066.67
2026-02-01T08:45:00,140,2,4500,146.67,2.33,4766.67
2026-02-01T08:50:00,150,3,4800,145.0,2.33,4666.67
2026-02-01T08:55:00,165,4,5200,151.67,3.0,4833.33
2026-02-01T09:00:00,185,6,6000,166.67,4.33,5333.33
2026-02-01T09:05:00,200,8,6700,183.33,6.0,5966.67
2026-02-01T09:10:00,210,9,7200,198.33,7.67,6633.33
