timestamp,requests,errors,total_latency_ms,requests_rolling_mean,errors_rolling_mean,latency_rolling_mean
2026-02-01T08:00:00,120,2,3600,,,
2026-02-01T08:05:00,135,3,4050,,,
2026-02-01T08:10:00,150,4,4800,135.0,3.0,4150.0
2026-02-01T08:15:00,165,5,5200,150.0,4.0,4683.33
2026-02-01T08:20:00,180,7,6100,165.0,5.33,5366.67
2026-02-01T08:25:00,170,6,5900,171.67,6.0,5733.33
2026-02-01T08:30:00,160,4,5400,170.0,5.67,5800.0
2026-02-01T08:35:00,155,3,5100,161.67,4.33,5466.67
2026-02-01T08:40:00,145,2,4700,153.33,3.0,5066.67
2026-02-01T08:45:00,140,2,4500,146.67,2.33,4766.67
2026-02-01T08:50:00,150,3,4800,145.0,2.33,4666.67
2026-02-01T08:55:00,165,4,5200,151.67,3.0,4833.33
2026-02-01T09:00:00,185,6,6000,166.67,4.33,5333.33
2026-02-01T09:05:00,200,8,6700,183.33,6.0,5966.67
2026-02-01T09:10:00,210,9,7200,198.33,7.67,6633.33
2026-02-01T09:15:00,220,10,7600,210.0,9.0,7166.67
2026-02-01T09:20:00,230,11,8000,220.0,10.0,7600.0
2026-02-01T09:25:00,240,12,8400,230.0,11.0,8000.0
2026-02-01T09:30:00,235,10,8100,235.0,11.0,8166.67
2026-02-01T09:35:00,225,9,7800,233.33,10.33,8100.0
2026-02-01T09:40:00,215,8,7400,225.0,9.0,7766.67
2026-02-01T09:45:00,205,7,7000,215.0,8.0,7400.0
2026-02-01T09:50:00,195,6,6600,205.0,7.0,7000.0
2026-02-01T09:55:00,185,5,6200,195.0,6.0,6600.0
2026-02-01T10:00:00,175,4,5900,185.0,5.0,6233.33
2026-02-01T10:05:00,180,5,6100,180.0,4.67,6066.67
2026-02-01T10:10:00,190,6,6500,181.67,5.0,6166.67
2026-02-01T10:15:00,205,7,7000,191.67,6.0,6533.33
2026-02-01T10:20:00,220,9,7600,205.0,7.33,7033.33
2026-02-01T10:25:00,240,11,8300,221.67,9.0,7633.33
2026-02-01T10:30:00,260,13,9000,240.0,11.0,8300.0
