timestamp,requests,errors,total_latency_ms
2026-02-01T08:00:00,120,2,3600
2026-02-01T08:05:00,135,3,4050
2026-02-01T08:10:00,150,4,4800
2026-02-01T08:15:00,165,5,5200
2026-02-01T08:20:00,180,7,6100
2026-02-01T08:25:00,170,6,5900
2026-02-01T08:30:00,160,4,5400
2026-02-01T08:35:00,155,3,5100
2026-02-01T08:40:00,145,2,4700
2026-02-01T08:45:00,140,2,4500
2026-02-01T08:50:00,150,3,4800
2026-02-01T08:55:00,165,4,5200
2026-02-01T09:00:00,185,6,6000
2026-02-01T09:05:00,200,8,6700
2026-02-01T09:10:00,210,9,7200
2026-02-01T09:15:00,220,10,7600
2026-02-01T09:20:00,230,11,8000
2026-02-01T09:25:00,240,12,8400
2026-02-01T09:30:00,235,10,8100
2026-02-01T09:35:00,225,9,7800
2026-02-01T09:40:00,215,8,7400
2026-02-01T09:45:00,205,7,7000
2026-02-01T09:50:00,195,6,6600
2026-02-01T09:55:00,185,5,6200
2026-02-01T10:00:00,175,4,5900
2026-02-01T10:05:00,180,5,6100
2026-02-01T10:10:00,190,6,6500
2026-02-01T10:15:00,205,7,7000
2026-02-01T10:20:00,220,9,7600
2026-02-01T10:25:00,240,11,8300
2026-02-01T10:30:00,260,13,9000
